0	10	20	30	40	50	60	70	80	90	10	14	22	31	41	50	60	70	80	90	20	22	28	36	44	53	63	72	82	92	30	31	36	42	50	58	67	76	85	94	40	41	44	50	56	64	72	80	89	98	
10	0	10	20	30	40	50	60	70	80	14	10	14	22	31	41	50	60	70	80	22	20	22	28	36	44	53	63	72	82	31	30	31	36	42	50	58	67	76	85	41	40	41	44	50	56	64	72	80	89	
20	10	0	10	20	30	40	50	60	70	22	14	10	14	22	31	41	50	60	70	28	22	20	22	28	36	44	53	63	72	36	31	30	31	36	42	50	58	67	76	44	41	40	41	44	50	56	64	72	80	
30	20	10	0	10	20	30	40	50	60	31	22	14	10	14	22	31	41	50	60	36	28	22	20	22	28	36	44	53	63	42	36	31	30	31	36	42	50	58	67	50	44	41	40	41	44	50	56	64	72	
40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	50	44	36	28	22	20	22	28	36	44	53	50	42	36	31	30	31	36	42	50	58	56	50	44	41	40	41	44	50	56	64	
50	40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	53	44	36	28	22	20	22	28	36	44	58	50	42	36	31	30	31	36	42	50	64	56	50	44	41	40	41	44	50	56	
60	50	40	30	20	10	0	10	20	30	60	50	41	31	22	14	10	14	22	31	63	53	44	36	28	22	20	22	28	36	67	58	50	42	36	31	30	31	36	42	72	64	56	50	44	41	40	41	44	50	
70	60	50	40	30	20	10	0	10	20	70	60	50	41	31	22	14	10	14	22	72	63	53	44	36	28	22	20	22	28	76	67	58	50	42	36	31	30	31	36	80	72	64	56	50	44	41	40	41	44	
80	70	60	50	40	30	20	10	0	10	80	70	60	50	41	31	22	14	10	14	82	72	63	53	44	36	28	22	20	22	85	76	67	58	50	42	36	31	30	31	89	80	72	64	56	50	44	41	40	41	
90	80	70	60	50	40	30	20	10	0	90	80	70	60	50	41	31	22	14	10	92	82	72	63	53	44	36	28	22	20	94	85	76	67	58	50	42	36	31	30	98	89	80	72	64	56	50	44	41	40	
10	14	22	31	41	50	60	70	80	90	0	10	20	30	40	50	60	70	80	90	10	14	22	31	41	50	60	70	80	90	20	22	28	36	44	53	63	72	82	92	30	31	36	42	50	58	67	76	85	94	
14	10	14	22	31	41	50	60	70	80	10	0	10	20	30	40	50	60	70	80	14	10	14	22	31	41	50	60	70	80	22	20	22	28	36	44	53	63	72	82	31	30	31	36	42	50	58	67	76	85	
22	14	10	14	22	31	41	50	60	70	20	10	0	10	20	30	40	50	60	70	22	14	10	14	22	31	41	50	60	70	28	22	20	22	28	36	44	53	63	72	36	31	30	31	36	42	50	58	67	76	
31	22	14	10	14	22	31	41	50	60	30	20	10	0	10	20	30	40	50	60	31	22	14	10	14	22	31	41	50	60	36	28	22	20	22	28	36	44	53	63	42	36	31	30	31	36	42	50	58	67	
41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	50	44	36	28	22	20	22	28	36	44	53	50	42	36	31	30	31	36	42	50	58	
50	41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	53	44	36	28	22	20	22	28	36	44	58	50	42	36	31	30	31	36	42	50	
60	50	41	31	22	14	10	14	22	31	60	50	40	30	20	10	0	10	20	30	60	50	41	31	22	14	10	14	22	31	63	53	44	36	28	22	20	22	28	36	67	58	50	42	36	31	30	31	36	42	
70	60	50	41	31	22	14	10	14	22	70	60	50	40	30	20	10	0	10	20	70	60	50	41	31	22	14	10	14	22	72	63	53	44	36	28	22	20	22	28	76	67	58	50	42	36	31	30	31	36	
80	70	60	50	41	31	22	14	10	14	80	70	60	50	40	30	20	10	0	10	80	70	60	50	41	31	22	14	10	14	82	72	63	53	44	36	28	22	20	22	85	76	67	58	50	42	36	31	30	31	
90	80	70	60	50	41	31	22	14	10	90	80	70	60	50	40	30	20	10	0	90	80	70	60	50	41	31	22	14	10	92	82	72	63	53	44	36	28	22	20	94	85	76	67	58	50	42	36	31	30	
20	22	28	36	44	53	63	72	82	92	10	14	22	31	41	50	60	70	80	90	0	10	20	30	40	50	60	70	80	90	10	14	22	31	41	50	60	70	80	90	20	22	28	36	44	53	63	72	82	92	
22	20	22	28	36	44	53	63	72	82	14	10	14	22	31	41	50	60	70	80	10	0	10	20	30	40	50	60	70	80	14	10	14	22	31	41	50	60	70	80	22	20	22	28	36	44	53	63	72	82	
28	22	20	22	28	36	44	53	63	72	22	14	10	14	22	31	41	50	60	70	20	10	0	10	20	30	40	50	60	70	22	14	10	14	22	31	41	50	60	70	28	22	20	22	28	36	44	53	63	72	
36	28	22	20	22	28	36	44	53	63	31	22	14	10	14	22	31	41	50	60	30	20	10	0	10	20	30	40	50	60	31	22	14	10	14	22	31	41	50	60	36	28	22	20	22	28	36	44	53	63	
44	36	28	22	20	22	28	36	44	53	41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	50	44	36	28	22	20	22	28	36	44	53	
53	44	36	28	22	20	22	28	36	44	50	41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	53	44	36	28	22	20	22	28	36	44	
63	53	44	36	28	22	20	22	28	36	60	50	41	31	22	14	10	14	22	31	60	50	40	30	20	10	0	10	20	30	60	50	41	31	22	14	10	14	22	31	63	53	44	36	28	22	20	22	28	36	
72	63	53	44	36	28	22	20	22	28	70	60	50	41	31	22	14	10	14	22	70	60	50	40	30	20	10	0	10	20	70	60	50	41	31	22	14	10	14	22	72	63	53	44	36	28	22	20	22	28	
82	72	63	53	44	36	28	22	20	22	80	70	60	50	41	31	22	14	10	14	80	70	60	50	40	30	20	10	0	10	80	70	60	50	41	31	22	14	10	14	82	72	63	53	44	36	28	22	20	22	
92	82	72	63	53	44	36	28	22	20	90	80	70	60	50	41	31	22	14	10	90	80	70	60	50	40	30	20	10	0	90	80	70	60	50	41	31	22	14	10	92	82	72	63	53	44	36	28	22	20	
30	31	36	42	50	58	67	76	85	94	20	22	28	36	44	53	63	72	82	92	10	14	22	31	41	50	60	70	80	90	0	10	20	30	40	50	60	70	80	90	10	14	22	31	41	50	60	70	80	90	
31	30	31	36	42	50	58	67	76	85	22	20	22	28	36	44	53	63	72	82	14	10	14	22	31	41	50	60	70	80	10	0	10	20	30	40	50	60	70	80	14	10	14	22	31	41	50	60	70	80	
